GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,0,88,1,3,0,17,1,3,0,2
parking-system,com.parkit.parkingsystem.service,ReducCalaculator,5,61,1,6,1,16,1,7,0,4
parking-system,com.parkit.parkingsystem.service,ParkingService,24,227,4,7,8,60,4,9,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,BIKE,0,9,0,0,0,3,0,2,0,2
parking-system,com.parkit.parkingsystem.model,ParkingSpot,37,25,8,0,9,10,8,5,4,5
parking-system,com.parkit.parkingsystem.model,Ticket,0,63,0,2,0,23,0,14,0,13
parking-system,com.parkit.parkingsystem.model,SetPriceAbs,5,0,0,0,2,0,2,0,2,0
parking-system,com.parkit.parkingsystem.model,CAR,0,9,0,0,0,3,0,2,0,2
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.dao,ClientDAO,2,66,1,1,0,21,1,3,0,3
parking-system,com.parkit.parkingsystem.dao,TicketDAO,54,217,2,2,5,50,2,5,0,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,10,103,2,2,3,29,2,4,0,4
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,10,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,15,67,0,6,6,25,0,9,0,6
